TRACK_ID,TOTAL_STREAM,DAILY_STREAM,DATE,PREVIOUS_DAILY_STREAM
4JQm7ebhsrt10wmrP6AfXL,5879421,697.0,2024-01-01,0.0
6505MLhnqTDDg4tjoUz2Wp,6072507,3113.0,2024-01-01,0.0
4YrpqEBNuz7IMsZtUP6bNQ,6119121,6481.0,2024-01-01,0.0
4DbI1rr4IQ2bc8nejy9ttd,6151937,2692.0,2024-01-01,0.0
68QyrSzpnoU04AAhE5z8lj,6194197,2286.0,2024-01-01,0.0
4KB3zBArZ1rHRExilzycaV,6205618,4517.0,2024-01-01,0.0
5fOV54t6mMYv3H9CsnvU81,6250772,5998.0,2024-01-01,0.0
0Nw8hv79MLJa1yjtsEgz08,6357835,2328.0,2024-01-01,0.0
4i0M7glXqIIRKPwbLtpExi,1316840,91.0,2024-01-01,0.0
5g7RMU3cV7zXWH244BLe7G,1046612,925.0,2024-01-01,0.0
5a9hUL6ZuiagZhazwrtwHF,679062,520.0,2024-01-01,0.0
4DjevQhsPWULcondN4mRh5,676014,533.0,2024-01-01,0.0
4WrJR6LJ8MtIxouKHUkTEM,305142,92.0,2024-01-01,0.0
64FIHbthA4RhBv6fL6DGBO,308892,103.0,2024-01-01,0.0
1VW4AEDihVs3BQB6KnTYIY,313012,198.0,2024-01-01,0.0
1VPHQriwOsy5aGHLwwZyho,316356,125.0,2024-01-01,0.0
2GZNZLMvT3gjCEPd6NNvvQ,317597,232.0,2024-01-01,0.0
1BXM0X5BxyUUOLEf9Rv6uZ,317717,155.0,2024-01-01,0.0
3lD0QBGaxvoc9WBDnGHFUi,325570,163.0,2024-01-01,0.0
1wePVBS4L6xhCvVUItPAZQ,329754,191.0,2024-01-01,0.0
4sFwzqXqNcNV3cTyTybq0M,336614,158.0,2024-01-01,0.0
7HbZuazpPbDDMkb8Tmvxq0,340146,164.0,2024-01-01,0.0
3cAHqw3B2deaHRXV9WrYAA,343672,141.0,2024-01-01,0.0
2rLYkfJSgTPtOTLjYEdozL,346646,192.0,2024-01-01,0.0
2vTjAIZbfW7W8NGBOZ5rK5,348936,184.0,2024-01-01,0.0
31JVjy3XWnh6C2zf4kLCXN,6408091,4579.0,2024-01-01,0.0
0kfTOGpi5eZCBxcRF5LFIh,351636,168.0,2024-01-01,0.0
2hecdut2HWM5JMHqLTWThq,363049,161.0,2024-01-01,0.0
4omftH10jc82Sj8VJ395C7,389669,254.0,2024-01-01,0.0
5Iadj8IBPrt634WW0yGPRI,438147,170.0,2024-01-01,0.0
1yVVoBDzSkFkZRWtq9x3u1,451339,186.0,2024-01-01,0.0
7Ae2hYOcJmLbGCYIA3M1VM,470230,209.0,2024-01-01,0.0
69o9kr9UexjzeZDE8yD8dQ,477406,366.0,2024-01-01,0.0
1zz0XSmHCFd57ne04UAp38,485240,414.0,2024-01-01,0.0
4twNUyTpLMPWokYmCdFDCH,510174,483.0,2024-01-01,0.0
1Qicm51crXMvUuH4SMjobT,510846,427.0,2024-01-01,0.0
