track_id,popularity
69o9kr9UexjzeZDE8yD8dQ,33
0Om9WAB5RS09L80DyOfTNa,67
32mVHdy0bi1XKgr0ajsBlG,72
7zMcNqs55Mxer82bvZFkpg,68
73OX8GdpOeGzKC6OvGSbsv,59
7an1exwMnfYRcdVQm0yDev,59
2QA3IixpRcKyOdG7XDzRgv,57
6K0CJLVXqbGMeJSmJ4ENKK,58
2ZoOmCSgj0ypVAmGd1ve4y,58
16MVSD0mGI4RMQT83Qzm69,68
2QrQCMel6v2JiLxqrg4p2O,60
15DeqWWQB4dcEWzJg15VrN,76
0JIdBrXGSJXS72zjF9ss9u,61
5OOd01o2YS1QFwdpVLds3r,57
1spLfUJxtyVyiKKTegQ2r4,56
4pJi1rVt9GNegU9kywjg4z,56
